sent,label
for a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen so no way to skip forward back etc... and when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... been waiting for this basic feature for literally years,negative
"i have used this app for a few years now, love it so much.",positive
nice one thanks for your help and support,positive
have same issue as others... app keeps freezing and crashing. is there something with the recent updates as the app plays and stops constantly?,negative
this is one of the best music app of all time it's amazing if i could do 3000 out of 100000 i would give it a 100000000000000,positive
"please help me how do i fix this i can't open the app the logo is stuck in the screen, i tried restarting and reinstalling the app and it doesn't work. fix this.",negative
all good but i don't like ads too much ads,negative
"living remotely, spotify is the only way to go. love it.!!!",negative
"itâ€™s the best app i have ever used for listening music. there are numerous options, playlists and specially blends.spotify really knows me well. it creates playlists by my favourite songs which is appreciated. artist mix,genre mix,mood mix these are so good. i like using spotify. but i wish there were a few more advantages for those who use a free account. for example skipping more than 6 songs.",positive
so bad i just want my songs so when i made a new play list to get rid of all the songs they added it literally put 500 extra song i rate one or zero,negative
the app is not working on moto g52 5g. the app opens and nothing happens it will be in opening app state only.,negative
probably the best app i found in play store for music.i love every feature in this app and my opinion is that you must add calller tone and ringtone option in spotify because spotify have all songs and other apps don't so if you add this feature for paid listeners i'll be amazing.,positive
"a lot of ads come in this, after every two songs the add comes, please remove the add.",negative
love it but why did they add it where if i play the song on my tv they show a picture of the artist's profile picture as the background? i liked the solid color with the album cover in the corner better. i couldn't find a way to turn it off either. love mac demarco but it jumpscared me seeing his face out of nowhere. need an option to take it off. ruins the aesthetic.,negative
"this is absolutely ridiculous. i lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. severely unimpressed",negative
i can find most songs i love but sometimes can't find older songs but love it none the less.,positive
it is a great music app it's my favorite and i know you will like it but one thing i don't like is you have limited amount of skips eatch hour and i recommend getting the app it's great to listening to songs with your friends and you :) and i love how you can make playlists i have one with over 50 songs!,positive
"love it. sadly you have to buy a subscription to fully enjoy the service. love the blended mix between songs. was told sound would be better when bought a subscription, but it's still the same.",negative
"i like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. other than that this is a good app.",negative
"best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality i really recommend downloading",positive
easy to opporate and the pmaylist it matches up foe me r spot in what i wanted to hear. ðÿ‘ðÿ‘,negative
can't like anymore songs,negative
this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 second!?!?! is this what i get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache what else do i need to do. help me please. i really like this app but if this keeps going then goodbye!!!,negative
very good and the exact app i was looking for. 1 star not given because of too many ads and some songs are not there.,negative
the golden standard. get premium y'all. it's worth it.,negative
on time and always on point,positive
great music. easy to use. amazing selection variety!,positive
"slowly getting worse, my spotify has been getting super buggy. a lot of random pauses and disconnects with my tacoma. bugged so bad it started playing music without knowing it and i could not pause or pull up any screen that would allow me to pause the music. had to restart my phone, a s10+.",negative
like this app forever but the ads are disturbing ðÿ˜ pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and spotify 4ever,negative
works well for the most part. hangs occasionally with just a few bugs.,positive
"i have been using the app for podcasts, and i am enjoying it. however, some sometimes the media player does not appear when one transitions to a different podcast channel. to rectify this, i have to relaunch the app. please see to this problem.",negative
"why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",negative
"it works for a little then after a while it doesn't. when pressing the play button for a song a whole different song plays something i've never heard before, or pressed on but it shows the song i've requested playing please fix this.",positive
the only thing i don't like is i can't pick the song i want to play and i can't change from shuffle play to just playing from the first song to the last,negative
songs are again play after complete and need to give next track manual,negative
"i don't know whats going on with this app, but i'm encountering so many problems now. the player is not visible nearly all of the time which makes it very difficult. never used to have these problems. needs to be fixed for android users.",negative
to many advertisements are there,negative
too much add its to irritating,negative
"this app is getting more and more annoying, i can't even open the thing, it's just getting stuck on the damn loading screen, i waited for hours last night seeing if it would load, but nope. fix your damn app",negative
last two updates have ruined the app. turns off mod song and shuffle is stuck on. so frustrating.,negative
"this app is great in so many ways. but jesus does it glitch. there's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. extremely annoying when you pay for your plan and it doesn't even function correctly. please fix the bugs!!!!",negative
worst everytime i open it i can't play any song it says no internet connection even when i am connected to internet. it only works when my phone is connected to wifi. that's not good at all,negative
they purposely throttle the app making it unbearable and a waste of time to use unless you have premium. genuine disgusting business practice.,negative
"i love this app but i wish we could have the option to turn off the ""we added"" part of my playlist i'm don't want to listen to some random german song i can't understand when i'm trying to cry myself to sleep with really sad songs.",negative
good app for listening music.,positive
when i put my songs on random like 2k songs. it always seems the same ones play. been like this for a while,negative
awesome app but can reduce ads for free users,negative
it just open and crashes,negative
no super awesome on android,negative
"extremely poorly optimised. autoplays the same song always, unintuitive navigation to artist album releases etc.",negative
"i have deleted the app to reinstall it and now it will not launch anymore!! have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.ðÿ˜­ i have a premium.accnt and now i cannot even access it ! it gets stuck to the logo openingðÿ˜",negative
best aap to listen music,positive
best music streaming app for android and ios. provides various songs to choose from based on person's personal recommendations.......,positive
"premium buyers: read b4 u buy guys, the app's awesome. but: 1.there is no way to see all of the songs downloaded to ur phone. u can only see the playlists u've downloaded or partially downloaded. 2.the only way to clear space is to either delete all of ur songs or go playlist by playlist. if a song is on multiple playlists it won't delete. 3.you can't delete individual songs. this review is limited to 500 char. so i'm cut short. and offline mode is broken too. dev email me for full report.",negative
amazing app just a decent amount of adds,positive
"amazing and easy to use app, so good to use. ðÿ’œðÿ‘€",positive
customer service is terrible. they don't answer emails back. no customer service phone number. no way to cancel subscription. total garbage. no help from them at all they just want the monthly subscription costs.,negative
good app good music,positive
i never seen this type of app it's worst app the app is not at all opening from first i didn't listen even one song also pls solve this problem spotify ðÿ‘ðÿ»,negative
when i go to my music it keeps puting music that i dont know and music that are not in my playlist like fix it,negative
i haven't used this app yet because it doesn't open when i press the app.. spotify pls fix this.,negative
"i was using the lite version then j installed this and i think that lite is better. the like button and skip are too close to each other, so it dislikes the song instead of skipping it and there is undo option for that u have search it again and also it crashes a lot. my phones literally telling me uninstall it bc of the crashesðÿ˜•. and sometines the player also dosent work and it dosent have background player like the lite versionðÿ˜. i getting rid of this one, getting the lite versionðÿ˜§",negative
i bought 1day premium pack and still getting ads. whats the point of spending money on premium?,negative
keeps crashing on my s22 ultra,negative
always had spotify on my computer and now got it on my phone great to use doesn't take to long to open great .,positive
"so you mean to tell me that on order to listen to the songs that i want to on mobile and not some random song that will play instead, i am required to pay for premium? yeah, no. one star, and going back to youtube.",negative
"way too many ads, and it's always the same annoying 3. ffs",negative
best app for music lovers.,positive
brilliant as always,positive
"app is extremely glitchy. thought it was my phone and/or my poor internet but nope. after reading all these posts i see my experience is the same as others. so much for adding a premium account, no thank you. 7/22 pretty much the same as above. still glitchy. still no premium upgrade desired. thanks though.ðÿ‘",negative
i wish it would cycle through all the songs in a play list before playing a song i just herd,negative
i hate spotify it won't let me choose what i want type of music it sucksssss i hate i hate it i hate it!!!!! ;,negative
generally good. lots of music i like. a few missing things. don't want suggestions fir kanye etc. why doesn't it suggest more appropriate tunes?,positive
that's too much. why would i use a music app that doesn't allow me to choose the tracks i wanna play? i'm done with spotify.,negative
i use this app multiple times daily. this might actually be my most used app. spotify is amazing and has an extremely large collection of music.,positive
i can't see my playlists on the app. it kept saying that i need to add music and podcasts. i tried creating new playlists but it didnt appear on my library. is this a bug? please fix this.,negative
"i have a love/hate relationship with this app. i dont mind the ads, its the fact that i cant choose what songs i want to listen to anymore. i only get previews of the songs. i can only get 6 skips per hour. i cant do anything i want. almosr all the songs i like to listen to are only for premium users. you put so many restrictions on us. id rather pay for tidal. 2022 update: switched to youtube music my life is so much better ðÿ˜»ðÿ˜»",negative
every time i play a playlist or press shuffle on a playlist. it gives me some random song i haven't heard of before or even want to hear. for example i was playing a star wars playlist and out of nowhere after the first song. it went to someone like drake,negative
"i love my spotify because... it has an ""add free"" option it keeps record of the different types of music, artist, and bands (from old to new school) that i like. spotify makes me daily mixes to check out ,which i love. plus i get my daily horoscope reading on my way to work. spotify= 10 â­ ðÿ¤©",positive
"its been a week since i've got this problem where i can't open the app, it's just a black screen with the spotify logo in the middle, please fix it as soon as possible, i really enjoy the app",negative
select a song and get something else ask for rhcp and get limp bizkit. i can deal with the dozens of ads but itd be nice to get the music you actually choose.,positive
"updates downloads when i need it most, i work in a manufacturing facility so it is very hard to get connection and i cant having my phone out too much on the floor. its annoying to have to wait on it working and feel like my job is at risk cause my pre downloaded playlists need to re-download... shuffle doesnt work. plays same 20 songs out of a 40 hour playlist! fix it please!",negative
the app isn't optimised for low connection speeds and spotty connections.,negative
"spotify as a platform is great. but the app for android is slow, glitch filled garbage.",negative
love the selections do many to choose!!,positive
thank you...you brought back the young girl in me! love looking up the old music from the 80s,positive
very hard to use compared to other platforms,negative
it just simply is using a different sing to the one i select,negative
i love spotify. it plays great music on there.,positive
"i like it i still use and all but the ads bro so many ads like i pick a play list and literally over 6 ads go on then when it's say ""enjoy the next 30 minutes without ads"" its liying cuz and ad pops up when it hasn't even been 30 minutes but i like how it's set up and all so ima still use but bro the ads are over board",negative
downgrading to one star. enjoy paying for a thing that doesn't work.,negative
some songs are disabled tho,negative
i love this app so much. i have been using spotify for like 4 years and it has rarely posed any problems. i had an issue with swiching what device i was listening on but ir was easilly fixed. just a suggestion of mine woud to be to like add/make a remote feature or app so if people are listening on like a computer hooked to a tv they can control spotify from a phone easier,negative
"music and podcasts when i exercise, shower, cook, eat, whenever i want to feel upbeat, focused, or just want to listen to a great interview. great app.",positive
i can't even open the app anymore i can't listen to music,negative
"hello, i facing a problem sometimes it turn off suddenly and no pop up when music was on. i have to keep install and uninstall this app, and it kinds annoyed me sometimes. please fix this bug. i was using samsung a73 g.",negative
really good but it needs better sound quality,negative
best app for streaming the latest music hands down. if you have spotify duo you & your parter can create your own accounts & playlist for one small price. i absolutely love spotify. highly recommended.,positive
"decent service... except that the free version is getting to the point that at least as much time listening to music is spent listening to ads! ðÿ˜µ i get you want people to pay for premium but it's truly ridiculous. used to really like spotify. now i just turned it on, it played one song, and then literally at least 8 (i lost count) ads ranging from 15-45 seconds each. and not even the ""enjoy your next 30 mins of ad free listening"" message so for all i know it'll be the same after the next song.",negative
"premium user for years. spotify has always been my fav music & pod app but i'm thinking about switching. never used to have any issues, 2 yrs ago i switched to iphone for the first time - still no problems. switched back to samsung a few months ago, the app is almost impossible to use. you can almost never see 'now playing' to control your show or music. it randomly pauses your podcast for no reason. & it marks podcasts as played after 1 sec so you can't sort by unplayed. also a million pop ups.",negative
"this app disconnects from the internet regularly for no reason. can't set daughter's lullabies to ignore so guess what my most played songs and recommendations are? this app isn't cheap, i expect it to be far better.",negative
there is no search option for song.,negative
best pod cast and music,positive
it will open but i'm stuck at the sign in it won't do anything except show the logo,negative
"best option for music. everything you can think of is on spotify. they give you recommendations, make mixes and give concert info.",positive
"music and podcasts keep pausing for no reason. also the playbar for whatever is playing (when it does decide to play) is mysteriously absent from the bottom of the app ui, and also absent from the pull down notification bar on my phone.",negative
the quantity of different types of music is fantastic although they quality can be poor at times,positive
i am very impressed that when many of us requested the play selection feature be reinstated it actually was. i would provide a five-star rating but no one is perfect.,negative
this is the best music app ever. this is the one to rule them all. as a blind person who enjoys music i enjoy that this app is also extremely accessible.,positive
spotify is great! i love the idea of following up great music and podcasts.,positive
i really like this app. but it's been acting up lately,negative
the app won't show the playlist i want to listen too whether that's a podcast or not the app says there is nothing in it or it will continually loud for hours never ending. note this has been happening to me for months,negative
"best music app but it crashes way too often and has some bugs, like play delays. even on a brand new device with 8gb ram. please try optimize this.",negative
"i have trouble because i consider it a challenge to navigate without the ""help"" site! otherwise i enjoy it !",negative
"too many ads. it says ad free for 30 min, but the ads continue after 3 songs.",negative
"since the last update, my spotify has been pausing frequently. it's very frustrating and makes my subscription a waste of money. please fix it.",negative
best app i just love the app really very nice app ðÿ˜šðÿ˜š seriously love it,positive
the best music selection and it's very easy to use,positive
apple music is worse. but better.,negative
"i love having my music at my fingertips! i don't like when spotify decides to add music to my playlists though. i know you can turn that feature off but it does it on its own sometimes. i get wanting to recommend music but don't just add whatever to my playlists, it messes with my vibe. ðÿ˜‰ other than that this is a great app!! thank you!",positive
crashed & support doesn't give a damn. after contacting they gave up because every trouble shoot option they have does no difference.,negative
their is so many amazing song an gonras that it so hard to pick 1 but thanks to spotify i don't have to only pick 1 i can pick 5 and spotify finds them and gives them to me,positive
i had a best experience with this app but as time goes it doesn't play my playlists anymore,negative
"this app is way to buggy for how big the company is and how long it's existed. long load times, buttons fail to do anything. continually having to speak to tech support. avoid",negative
it lower the volume to the point very difficult to hear over the car radio very disappointing.,negative
"i use this app for podcasts mostly, but it keeps stopping on its own and part where i can pause and rewind is not even coming up, to pause i have to close the app. when it works, it is a good app.",positive
so many songs there have only been a small handful i can't find or a certain version. sometimes a song is taken off which sukc cause it was the only on there. up to 1561 songs and still climbing. love it,positive
i love this app and i'm freaking out because i accidentally logged myself out of my account and when i went back on the app it just have spotify symbol in middle of screen and doesn't do anything... ive uninstalledthe app 2 times and still nothing..,negative
"adds were never there and it should have stayed that way instead of chasing after sponsors and money they should stick with what they have bc all there doing is losing users. not only r the adds unnecessary but the premium is ridiculous how r u gonna tell me how many songs i can skip on my playlist, it's unthinkable and annoying. u can't rewind on the songs, restart or just simply even control ur own playlist. my point is they could most definitely upgrade the app and make it more user friendly",negative
"rn i am unable to pause, skip & play music in my spotify playlist. i usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. if i play a song from my playlist the next song in that playlist does not play for some reason. or if i want to pause a song that is playing i'd have to close the app entirely. i have this problem whether i use my earbuds or not. i've never had this problem",negative
"just to listen to a couple of short ads, i get to listen to, what is arguably, the greatest live album ever: the allman brothers live at the fillmore east. it just doesn't get any better.",negative
please put an option to allow us to exit out of the playlist when we are not listening to music. its extremely frustrating that all i can do is pause the music. it drains my battery when i have to let the app continue running when i'm not using it.,negative
"app crashes, no now playing information. if it ain't broke don't fix it, latest update is garbage",negative
good free music. easy to use.,positive
"used to be good, getting worse. buttons disappeared. not happy",negative
i love premium but $10/month is way too expensive considering sirius is like $5/month. if premium was $5/month like sirius it would be absolutely worth it!!,negative
excellent playlist that they select in turns of jazz.,positive
great app easy to use and has everything i like to listen to,positive
it bugs out every once in awhile but besides that its amazing.,positive
good app for songs,positive
