sent,label
jammin' up in hyuh! old school hardcore and thrash i haven't heard in years. return to my youth? yes please !,1
cant listen to downloaded stuff when offline,-1
why this app show no internet available when both phone and wifi data is working. i already fred up with adds now this happens all the time i want to search for song.,-1
everything is perfect... just add light theme,1
no option to delete a song on an album. no option to download one track on an album and no option to shuffle all your music library without creating a playlist or liking all your music.,-1
the best music app ever i have seen,1
"wow!! ....all of a sudden my login doesn't work. even though i'm 100% positive it is correct. this morning my app asks me to login? why? this hasn't happened before, so obviously you are having some problems. just found an email in my account telling me to change my password because of 'suspicious behaviour'.... yeah because logging into spotify on my xbox is suspicious!? thanks for the stress this morning, didn't need that. i won't be renewing....my way of teaching you a lesson.",-1
am unable to use on my ph .....it gets downloaded but unable to log in,-1
plz remove adds as because ther are continuously 2 to 3 adds at list remove 2 adds and give 1 adds,-1
"liked songs play offline , helps with signal problems",-1
sometimes i try and listen to a playlist and it will play the same first song and i try to go to a different one and it goes back to the same first one... little weird.,-1
good app for listening music..,1
"no commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",-1
wide range of songs collection,1
"what's the deal here? compared to the desktop version, this is inferior to it! why is the ability to play any songs so bare or if not, barely free? is there more that need to be said about this? i think i made my point clear enough!",-1
spotify is awesome! i love having any obscure artist i can think of at my fingertips as well as easy access to newer things! update: lost a star for constantly asking for a review i've already done.,1
best app to stream music!,1
"my account was glitching so i logged out to try and fix it but now it won't let me log back in, it only shows the logo but never the sign in screen",-1
"everything i go to open the app in the last week, there's no play bar, and now when i go to open it, it just shuts right back down.",-1
lost download button. can't download playlists.,-1
love this app. the style of music selection is more specific.,1
pretty good apps for better quality musics,1
the videoke feature doesn't show in my device until now,-1
love most of the features in the app but one thing is a bit expensive at each month subcription for $9.90,-1
podcasts becoming a nightmare. trying to get rid of podcasts on this app is ridiculous. stupid things are all over the home page. you can click not interested till you're blue in the face and i'll just keep throwing up more spam casts.,-1
best birthday present i have ever received from my baby brother! i listen to something at least everyday. so happy of the selection of christian artists and music. love finding new artists. let just listening to great podcasts. thank you so much for such a wonderful app!,1
the only downside is they rotate songs in and out so one month you can listen to that great song next month maybe not.,-1
the sound quality is really good and i can listen to my favourite songs anytime and anywhere without any disturbance. that's really good experience ðÿ‘ i loved this app alot. keep providing us the best service ðÿ‘ðÿ‘,1
keeps cutting out and not showing what song is playing,-1
as a paying customer there is nothing i can say about spotify. it is perfecto.,1
so much adds like i get 6 adds before i start a song and you need premium just play a song itself.,-1
"exceptional application for online songs. i loved the option of merging the app with inter music player of samsung. overall, application works flows less.",-1
spotify is better than joox fosho,1
"since disney started to pay for ads for disney+, the non-premium version of spotify became useless because after 1 or 2 songs you get at least 2 ads, one or two from disney+ and sometimes one more. i will change my review if i won't get so many ads.",-1
why dose the go from playing liked songs to songs that you haven't even looked at that's what it's getting three stars,-1
it's great for listening to your favorite artists,1
trash app. can't even log in via fb account.,-1
"this app is incredible. it's very very good to use and i am enjoying my music everyday, every minute and every seconds. i love it.",1
"this app is so good and cool i am very interested to this app i loved it so much iam listening every day and night spotify i am full supporting this app i suggested to try this app and do fun with spotify and i just say try spotify try it now and and are you a army , a blink so this app is very good for you armies and blinks and today is very special day for armies this is a army day love you armies love you blinks and i am so happy to this app spotify try spotif love you spotify ðÿ˜šðÿ˜šðÿ˜šðÿ˜ðÿ˜ðÿ˜ðÿ˜",1
"it was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",-1
"i love it soo much and i will rate it a 4 star, the problem is that there are constant ads, and the singing option near the lyrics doesn't seem to appear for me anymore",-1
"would rate it 5. but whenever, i play something on my playlist it changes to a different song and not my playlist . i hope this get fixed soon.",-1
"love the app... a few small issues though.. 1. i find a song and add to liked, then look for the same song and it takes me to a whole different playlist please fix.",1
too much and too long ads.,-1
"i didn't really like the app. whenever i play a song, it just plays a different one.",-1
"had no issues with this app for years being a premium user but now really struggling with it. as someone else said before, there is now no player so can't skip, pause etc. not sure if this is because i'm on a samsung galaxy? as it does come back briefly if i restart my phone ðÿ¤·â€â™€ï¸",-1
"just bring back the ""shuffle all"" albums option. ðÿ¤¦ðÿ¾â€â™‚ï¸",1
quality sound and selection. but they're adds are louder than the music sometimes.,1
it always stuck at black screen,-1
great music quality,1
i love to hear ads ðÿ˜œâ¤its so satisfying.... but sometimes musics play and interrupt the ads ðÿ˜”....i request to fixed this problem.... so i enjoy ads peacefully.... great appðÿ™ðÿ˜š,1
"first time user, so far easy enough to navigate.",1
i will give less than one star the app plays too many adds after each and every song as i have not purchased premium this gives too many adds which irritate a lot in your mood.,-1
awesome but some songs i can't find,1
"i really like spotify, i don't have proplem with ads but shuffle and only 6 skips per hour is sooooo annoying! i neither want to pay for spotify premium nor switch to another app, and this makes spotify really hard to use.",-1
work really well with android auto on those long drives home.,1
please turn off shuffle play!!!,-1
"its good but when u want to play a song , they give other songs yo listen to instaed of the song and sometimes when u trying to get to the song the skips are limited .it has the same effect on the playlist u cant enjoy ur song without other songs interfering and eepecially adding songs u dont like to ur playlist",1
in the middle of songs its pauses and then restarts the whole song. you have to go into the app and play the song again.,-1
"very glitchy, audio randomly drops out or stops playing. control bar disappears from the bottom of the screen and unable to pause, stop or skip audio without closing out of the app.",-1
i hate this if i have spotify free i can only listen to the half of the song on mobile hate this f#$ã— u,-1
"i uninstalled this app because i don't have any use for it anymore and as soon as i did that, the ads for it appeared on youtube videos just how freaking desperate do you have to be to promote it this much please buzz off",-1
"i love spotify, i listen more and more, music an podcasts. we have a premium account, it's worth every penny.",1
"what the hell? i'm having the same issue as ""the patoto man"", minus random songs being added. i can't even choose any song at all that i want to play. i can't view them properly, i can't play them directly and it only starts a 10 second snippet of the song. i can't even listen to any music i want, and can't even have playlists play the music i want. and the big one, it all seems to just be a samsung/ google play store issue. i can play just fine on apple mobile devices like ipads.",-1
this app is good but fixe it i can't sign in,-1
"dude the app is good and all but just today i was using it and later in the day i check it and it won't let me play my playlist, and random songs are added toy playlist i can't even select a song i want to play i can only listen to it for a short period of time, and it says ""you added"" in your playlist and then bottom part says ""we added"" i don't know what to do i just want to listen to the full songs without random bots adding random songs that i don't even like and have any interest.",-1
i love spotify just wish i can download music,1
it's awesome and great music app,1
works super well.... when it works... the app doesnt seem to want to load 3/4ths of the time. ultra laggy. locks up my phone occationally... makes no sense. otherwise. features are plentiful and you can find most anything.,-1
i can't even listen to my favorite songs bc of the shuffle and i tried different accounts and it doesn't even change even a little,-1
it does'nt let you choose your songs,1
the load time is wonderful and very short and you don't have to wait long to hear the next best thing.,1
"i love listening to music (i use it as a coping mechanism), so i love spotify so much too. but, about 3 days ago (?), my spotify wouldn't load, it would just stay on the spotify logo screen thing. tried installing it and uninstalling it for 5 times, restarted my phone 2 times, cleared the cache/data for about 8 times, and i still can't open it (also waited for an hour for it to load).",-1
"used to be good. it dont let me play my playlists, pause, stop, start and go back a track from my phone (samsung). i emailed spotify and asked help from a member but nothings working.",-1
"for an app that has been available for 8 years, the amount of issues i have is frustrating. like some other say, it stops playing randomly while in the background, even though i allow background data use and all that. at times while running in the background, the app dissappears from my toolbar and i have to open it independently, then i have no way to click on what is playing at the bottom so i must force close it.",-1
i really enjoy my music life nice app thanks for spotify,1
i cant open the app. it's been 2 days please fix this.,-1
it's not that bad but why can't i just directly play the song i pressed on?,-1
love spotify great for all the family,1
"this app worked well until v8.6.98.900, when trying to install newer versions of the app, my pioneer car system wouldn't work with spotify anymore. this means that i have to upgrade all my apps manually to be able to keep the last working version of their app. hope spotify will fix their broken app soon.",-1
"i use to love this app, but i soon hated it because it keeps on playing music and other songs that isn't on my playlists or my liked songs, i've turned off the option for it to do that ( play similar songs when your playlists ends. something like that ) but it doesn't work, i don't recommend.",-1
excellent music experience,1
this is an amazing app i use it all the time and it's very affordable. if you are looking for a app to lift your mood spotify it the one you go for.,1
spotify has literally accounted for everything when it comes to your best music experience. it's so easy to use but there's still so many features and i honestly didn't realize how much i needed it until i got it. would recommend above apple music as it's more aesthetically pleasing and has way better features. get spotify!!! (i do have premium) but even with ads it's still good.,1
sometimes it is not working,-1
very annoying and disturbing,-1
good audio play experience with spotify.,1
the best music app till now ...,1
i hate ads and they do send work 1 month free premium (super upp),-1
i have gotten 10 ads in a row trying to listen to a single song. the ads were longer then the sond,-1
"i have used this app for the last 2 years straight, always use premium, it's an essential",1
"app stuck on loading black screen with spotify logo, restarted, reinstalled, no luck! using note 20 ultra",-1
"2022.07.08 would like to be able to save queue as playlist. would like to be able to scroll back in queue an arbitrary number of titles. when playlist is playing, be able to add songs to queue, rearrange playlist sequence, and ""save changes to playlist?"" prompt at end of playlist... ðÿ¤·â€â™‚ï¸",-1
"worst app for music,so many ads.",-1
best song app all over,1
"i love ðÿ’“ this app . it has ads but not that level, that's the reason. and you can choose your favorite artist. you can enjoy different playlist in just 28 mb. and resso use 68 mb. so i prefer spotify.",-1
nice music quality,1
umm... lately there is auto pausing problem when the screen locks hope it will fix soon,-1
amazing songs and artists!!! great app 10/10 review!!,1
"not bad but not good. i wanted to listen to a song that i like but suddenly it played a different song. i tried adding my fav songs to my playlist but it played a song that i did not add on my playlist. well, that's okay.",-1
"i absolutely love spotify and i'm obsessed with music, but i only rated it 4 starts for a reasom. ok so basically my spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and i had no idea how to fix. and whats weird is that it would work on my other devices with my spotify account just not on my phone. so it might be my phone but idk. and another thing it does is it just randomly kicks me out of the app sometimes. well thats all i have",-1
i really love it my favorite thing about this app is the lyrics ðÿ˜ it's amazing i love singing along with my favorite songs ðÿžµ ðÿ’•,1
best music app....best collections.....they wil create playlists specially for youu...i loved it best app ever,1
nice app but the ads is very disturbing,-1
stopped working this morning for some reason.,-1
how long will it take to fix the payment option. being on the free plan is not a nice experience. i want to get back on premium but its failed now for the 2nd month.,-1
this is nice app i love spotify,1
having streaming trouble with new update. skipping of audio and app crashes,-1
"easy play, and all singers and songs i wanted is here.thank you",1
it's a amazing app but if it has been an option to download songs it's completely fantasy,1
the recommendations are always for popular stuff no matter what you listen to. worst recommendations of all time. there is little to no effort put into these. if you made a playlist exclusively with 90's norwegian death metal this dumb app would trip over it's dick racing to suggest island in the sun by weezer. the now playing bar only exists most of the time making it almost impossible to use without restarting your phone,-1
i'm speechless this app is amazing.,1
i cant open the app ðÿ˜­ i've tried deleting it and restarting my phone someone help,-1
for a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen so no way to skip forward back etc... and when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... been waiting for this basic feature for literally years,-1
"i have used this app for a few years now, love it so much.",1
nice one thanks for your help and support,1
have same issue as others... app keeps freezing and crashing. is there something with the recent updates as the app plays and stops constantly?,-1
this is one of the best music app of all time it's amazing if i could do 3000 out of 100000 i would give it a 100000000000000,1
"please help me how do i fix this i can't open the app the logo is stuck in the screen, i tried restarting and reinstalling the app and it doesn't work. fix this.",-1
all good but i don't like ads too much ads,-1
"living remotely, spotify is the only way to go. love it.!!!",-1
"itâ€™s the best app i have ever used for listening music. there are numerous options, playlists and specially blends.spotify really knows me well. it creates playlists by my favourite songs which is appreciated. artist mix,genre mix,mood mix these are so good. i like using spotify. but i wish there were a few more advantages for those who use a free account. for example skipping more than 6 songs.",1
so bad i just want my songs so when i made a new play list to get rid of all the songs they added it literally put 500 extra song i rate one or zero,-1
the app is not working on moto g52 5g. the app opens and nothing happens it will be in opening app state only.,-1
probably the best app i found in play store for music.i love every feature in this app and my opinion is that you must add calller tone and ringtone option in spotify because spotify have all songs and other apps don't so if you add this feature for paid listeners i'll be amazing.,1
"a lot of ads come in this, after every two songs the add comes, please remove the add.",-1
love it but why did they add it where if i play the song on my tv they show a picture of the artist's profile picture as the background? i liked the solid color with the album cover in the corner better. i couldn't find a way to turn it off either. love mac demarco but it jumpscared me seeing his face out of nowhere. need an option to take it off. ruins the aesthetic.,-1
"this is absolutely ridiculous. i lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. severely unimpressed",-1
i can find most songs i love but sometimes can't find older songs but love it none the less.,1
it is a great music app it's my favorite and i know you will like it but one thing i don't like is you have limited amount of skips eatch hour and i recommend getting the app it's great to listening to songs with your friends and you :) and i love how you can make playlists i have one with over 50 songs!,1
"love it. sadly you have to buy a subscription to fully enjoy the service. love the blended mix between songs. was told sound would be better when bought a subscription, but it's still the same.",-1
"i like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. other than that this is a good app.",-1
"best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality i really recommend downloading",1
easy to opporate and the pmaylist it matches up foe me r spot in what i wanted to hear. ðÿ‘ðÿ‘,-1
can't like anymore songs,-1
this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 second!?!?! is this what i get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache what else do i need to do. help me please. i really like this app but if this keeps going then goodbye!!!,-1
very good and the exact app i was looking for. 1 star not given because of too many ads and some songs are not there.,-1
the golden standard. get premium y'all. it's worth it.,-1
on time and always on point,1
great music. easy to use. amazing selection variety!,1
"slowly getting worse, my spotify has been getting super buggy. a lot of random pauses and disconnects with my tacoma. bugged so bad it started playing music without knowing it and i could not pause or pull up any screen that would allow me to pause the music. had to restart my phone, a s10+.",-1
like this app forever but the ads are disturbing ðÿ˜ pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and spotify 4ever,-1
works well for the most part. hangs occasionally with just a few bugs.,1
"i have been using the app for podcasts, and i am enjoying it. however, some sometimes the media player does not appear when one transitions to a different podcast channel. to rectify this, i have to relaunch the app. please see to this problem.",-1
"why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",-1
"it works for a little then after a while it doesn't. when pressing the play button for a song a whole different song plays something i've never heard before, or pressed on but it shows the song i've requested playing please fix this.",1
the only thing i don't like is i can't pick the song i want to play and i can't change from shuffle play to just playing from the first song to the last,-1
songs are again play after complete and need to give next track manual,-1
"i don't know whats going on with this app, but i'm encountering so many problems now. the player is not visible nearly all of the time which makes it very difficult. never used to have these problems. needs to be fixed for android users.",-1
to many advertisements are there,-1
too much add its to irritating,-1
"this app is getting more and more annoying, i can't even open the thing, it's just getting stuck on the damn loading screen, i waited for hours last night seeing if it would load, but nope. fix your damn app",-1
last two updates have ruined the app. turns off mod song and shuffle is stuck on. so frustrating.,-1
"this app is great in so many ways. but jesus does it glitch. there's so many loading issues that have been going on for months, even when you're offline but have downloaded music, it loads very slow or doesn't at all. extremely annoying when you pay for your plan and it doesn't even function correctly. please fix the bugs!!!!",-1
worst everytime i open it i can't play any song it says no internet connection even when i am connected to internet. it only works when my phone is connected to wifi. that's not good at all,-1
they purposely throttle the app making it unbearable and a waste of time to use unless you have premium. genuine disgusting business practice.,-1
"i love this app but i wish we could have the option to turn off the ""we added"" part of my playlist i'm don't want to listen to some random german song i can't understand when i'm trying to cry myself to sleep with really sad songs.",-1
good app for listening music.,1
when i put my songs on random like 2k songs. it always seems the same ones play. been like this for a while,-1
awesome app but can reduce ads for free users,-1
it just open and crashes,-1
no super awesome on android,-1
"extremely poorly optimised. autoplays the same song always, unintuitive navigation to artist album releases etc.",-1
"i have deleted the app to reinstall it and now it will not launch anymore!! have done the clear caches, clear data and force stopping, restarted my phone and reinstalling the app but none of them works.ðÿ˜­ i have a premium.accnt and now i cannot even access it ! it gets stuck to the logo openingðÿ˜",-1
best aap to listen music,1
best music streaming app for android and ios. provides various songs to choose from based on person's personal recommendations.......,1
"premium buyers: read b4 u buy guys, the app's awesome. but: 1.there is no way to see all of the songs downloaded to ur phone. u can only see the playlists u've downloaded or partially downloaded. 2.the only way to clear space is to either delete all of ur songs or go playlist by playlist. if a song is on multiple playlists it won't delete. 3.you can't delete individual songs. this review is limited to 500 char. so i'm cut short. and offline mode is broken too. dev email me for full report.",-1
amazing app just a decent amount of adds,1
"amazing and easy to use app, so good to use. ðÿ’œðÿ‘€",1
customer service is terrible. they don't answer emails back. no customer service phone number. no way to cancel subscription. total garbage. no help from them at all they just want the monthly subscription costs.,-1
good app good music,1
i never seen this type of app it's worst app the app is not at all opening from first i didn't listen even one song also pls solve this problem spotify ðÿ‘ðÿ»,-1
when i go to my music it keeps puting music that i dont know and music that are not in my playlist like fix it,-1
i haven't used this app yet because it doesn't open when i press the app.. spotify pls fix this.,-1
"i was using the lite version then j installed this and i think that lite is better. the like button and skip are too close to each other, so it dislikes the song instead of skipping it and there is undo option for that u have search it again and also it crashes a lot. my phones literally telling me uninstall it bc of the crashesðÿ˜•. and sometines the player also dosent work and it dosent have background player like the lite versionðÿ˜. i getting rid of this one, getting the lite versionðÿ˜§",-1
i bought 1day premium pack and still getting ads. whats the point of spending money on premium?,-1
keeps crashing on my s22 ultra,-1
always had spotify on my computer and now got it on my phone great to use doesn't take to long to open great .,1
"so you mean to tell me that on order to listen to the songs that i want to on mobile and not some random song that will play instead, i am required to pay for premium? yeah, no. one star, and going back to youtube.",-1
"way too many ads, and it's always the same annoying 3. ffs",-1
best app for music lovers.,1
brilliant as always,1
"app is extremely glitchy. thought it was my phone and/or my poor internet but nope. after reading all these posts i see my experience is the same as others. so much for adding a premium account, no thank you. 7/22 pretty much the same as above. still glitchy. still no premium upgrade desired. thanks though.ðÿ‘",-1
i wish it would cycle through all the songs in a play list before playing a song i just herd,-1
i hate spotify it won't let me choose what i want type of music it sucksssss i hate i hate it i hate it!!!!! ;,-1
generally good. lots of music i like. a few missing things. don't want suggestions fir kanye etc. why doesn't it suggest more appropriate tunes?,1
that's too much. why would i use a music app that doesn't allow me to choose the tracks i wanna play? i'm done with spotify.,-1
i use this app multiple times daily. this might actually be my most used app. spotify is amazing and has an extremely large collection of music.,1
i can't see my playlists on the app. it kept saying that i need to add music and podcasts. i tried creating new playlists but it didnt appear on my library. is this a bug? please fix this.,-1
"i have a love/hate relationship with this app. i dont mind the ads, its the fact that i cant choose what songs i want to listen to anymore. i only get previews of the songs. i can only get 6 skips per hour. i cant do anything i want. almosr all the songs i like to listen to are only for premium users. you put so many restrictions on us. id rather pay for tidal. 2022 update: switched to youtube music my life is so much better ðÿ˜»ðÿ˜»",-1
every time i play a playlist or press shuffle on a playlist. it gives me some random song i haven't heard of before or even want to hear. for example i was playing a star wars playlist and out of nowhere after the first song. it went to someone like drake,-1
"i love my spotify because... it has an ""add free"" option it keeps record of the different types of music, artist, and bands (from old to new school) that i like. spotify makes me daily mixes to check out ,which i love. plus i get my daily horoscope reading on my way to work. spotify= 10 â­ ðÿ¤©",1
"its been a week since i've got this problem where i can't open the app, it's just a black screen with the spotify logo in the middle, please fix it as soon as possible, i really enjoy the app",-1
select a song and get something else ask for rhcp and get limp bizkit. i can deal with the dozens of ads but itd be nice to get the music you actually choose.,1
"updates downloads when i need it most, i work in a manufacturing facility so it is very hard to get connection and i cant having my phone out too much on the floor. its annoying to have to wait on it working and feel like my job is at risk cause my pre downloaded playlists need to re-download... shuffle doesnt work. plays same 20 songs out of a 40 hour playlist! fix it please!",-1
the app isn't optimised for low connection speeds and spotty connections.,-1
"spotify as a platform is great. but the app for android is slow, glitch filled garbage.",-1
love the selections do many to choose!!,1
thank you...you brought back the young girl in me! love looking up the old music from the 80s,1
very hard to use compared to other platforms,-1
it just simply is using a different sing to the one i select,-1
i love spotify. it plays great music on there.,1
"i like it i still use and all but the ads bro so many ads like i pick a play list and literally over 6 ads go on then when it's say ""enjoy the next 30 minutes without ads"" its liying cuz and ad pops up when it hasn't even been 30 minutes but i like how it's set up and all so ima still use but bro the ads are over board",-1
downgrading to one star. enjoy paying for a thing that doesn't work.,-1
some songs are disabled tho,-1
i love this app so much. i have been using spotify for like 4 years and it has rarely posed any problems. i had an issue with swiching what device i was listening on but ir was easilly fixed. just a suggestion of mine woud to be to like add/make a remote feature or app so if people are listening on like a computer hooked to a tv they can control spotify from a phone easier,-1
"music and podcasts when i exercise, shower, cook, eat, whenever i want to feel upbeat, focused, or just want to listen to a great interview. great app.",1
i can't even open the app anymore i can't listen to music,-1
"hello, i facing a problem sometimes it turn off suddenly and no pop up when music was on. i have to keep install and uninstall this app, and it kinds annoyed me sometimes. please fix this bug. i was using samsung a73 g.",-1
really good but it needs better sound quality,-1
best app for streaming the latest music hands down. if you have spotify duo you & your parter can create your own accounts & playlist for one small price. i absolutely love spotify. highly recommended.,1
"decent service... except that the free version is getting to the point that at least as much time listening to music is spent listening to ads! ðÿ˜µ i get you want people to pay for premium but it's truly ridiculous. used to really like spotify. now i just turned it on, it played one song, and then literally at least 8 (i lost count) ads ranging from 15-45 seconds each. and not even the ""enjoy your next 30 mins of ad free listening"" message so for all i know it'll be the same after the next song.",-1
"premium user for years. spotify has always been my fav music & pod app but i'm thinking about switching. never used to have any issues, 2 yrs ago i switched to iphone for the first time - still no problems. switched back to samsung a few months ago, the app is almost impossible to use. you can almost never see 'now playing' to control your show or music. it randomly pauses your podcast for no reason. & it marks podcasts as played after 1 sec so you can't sort by unplayed. also a million pop ups.",-1
"this app disconnects from the internet regularly for no reason. can't set daughter's lullabies to ignore so guess what my most played songs and recommendations are? this app isn't cheap, i expect it to be far better.",-1
there is no search option for song.,-1
best pod cast and music,1
it will open but i'm stuck at the sign in it won't do anything except show the logo,-1
"best option for music. everything you can think of is on spotify. they give you recommendations, make mixes and give concert info.",1
"music and podcasts keep pausing for no reason. also the playbar for whatever is playing (when it does decide to play) is mysteriously absent from the bottom of the app ui, and also absent from the pull down notification bar on my phone.",-1
the quantity of different types of music is fantastic although they quality can be poor at times,1
i am very impressed that when many of us requested the play selection feature be reinstated it actually was. i would provide a five-star rating but no one is perfect.,-1
this is the best music app ever. this is the one to rule them all. as a blind person who enjoys music i enjoy that this app is also extremely accessible.,1
spotify is great! i love the idea of following up great music and podcasts.,1
i really like this app. but it's been acting up lately,-1
the app won't show the playlist i want to listen too whether that's a podcast or not the app says there is nothing in it or it will continually loud for hours never ending. note this has been happening to me for months,-1
"best music app but it crashes way too often and has some bugs, like play delays. even on a brand new device with 8gb ram. please try optimize this.",-1
"i have trouble because i consider it a challenge to navigate without the ""help"" site! otherwise i enjoy it !",-1
"too many ads. it says ad free for 30 min, but the ads continue after 3 songs.",-1
"since the last update, my spotify has been pausing frequently. it's very frustrating and makes my subscription a waste of money. please fix it.",-1
best app i just love the app really very nice app ðÿ˜šðÿ˜š seriously love it,1
the best music selection and it's very easy to use,1
apple music is worse. but better.,-1
"i love having my music at my fingertips! i don't like when spotify decides to add music to my playlists though. i know you can turn that feature off but it does it on its own sometimes. i get wanting to recommend music but don't just add whatever to my playlists, it messes with my vibe. ðÿ˜‰ other than that this is a great app!! thank you!",1
crashed & support doesn't give a damn. after contacting they gave up because every trouble shoot option they have does no difference.,-1
their is so many amazing song an gonras that it so hard to pick 1 but thanks to spotify i don't have to only pick 1 i can pick 5 and spotify finds them and gives them to me,1
i had a best experience with this app but as time goes it doesn't play my playlists anymore,-1
"this app is way to buggy for how big the company is and how long it's existed. long load times, buttons fail to do anything. continually having to speak to tech support. avoid",-1
it lower the volume to the point very difficult to hear over the car radio very disappointing.,-1
"i use this app for podcasts mostly, but it keeps stopping on its own and part where i can pause and rewind is not even coming up, to pause i have to close the app. when it works, it is a good app.",1
so many songs there have only been a small handful i can't find or a certain version. sometimes a song is taken off which sukc cause it was the only on there. up to 1561 songs and still climbing. love it,1
i love this app and i'm freaking out because i accidentally logged myself out of my account and when i went back on the app it just have spotify symbol in middle of screen and doesn't do anything... ive uninstalledthe app 2 times and still nothing..,-1
"adds were never there and it should have stayed that way instead of chasing after sponsors and money they should stick with what they have bc all there doing is losing users. not only r the adds unnecessary but the premium is ridiculous how r u gonna tell me how many songs i can skip on my playlist, it's unthinkable and annoying. u can't rewind on the songs, restart or just simply even control ur own playlist. my point is they could most definitely upgrade the app and make it more user friendly",-1
"rn i am unable to pause, skip & play music in my spotify playlist. i usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. if i play a song from my playlist the next song in that playlist does not play for some reason. or if i want to pause a song that is playing i'd have to close the app entirely. i have this problem whether i use my earbuds or not. i've never had this problem",-1
"just to listen to a couple of short ads, i get to listen to, what is arguably, the greatest live album ever: the allman brothers live at the fillmore east. it just doesn't get any better.",-1
please put an option to allow us to exit out of the playlist when we are not listening to music. its extremely frustrating that all i can do is pause the music. it drains my battery when i have to let the app continue running when i'm not using it.,-1
"app crashes, no now playing information. if it ain't broke don't fix it, latest update is garbage",-1
good free music. easy to use.,1
"used to be good, getting worse. buttons disappeared. not happy",-1
i love premium but $10/month is way too expensive considering sirius is like $5/month. if premium was $5/month like sirius it would be absolutely worth it!!,-1
excellent playlist that they select in turns of jazz.,1
great app easy to use and has everything i like to listen to,1
it bugs out every once in awhile but besides that its amazing.,1
good app for songs,1
"so far so good, i'm building a playlist, i'll let you know in the",1
podcasts aren't available in my area. so annoying.,-1
amazing app.. we have left music streaming for you guys.,-1
too many commercials. limited to skipping songs in playlist,-1
